Company,Ticker Symbol,Stock Exchange,Sector,Sub-Industry,HQ City,HQ State,Employees,Founded,MarketCap ($Billions),Price,Price-26-week,Price-52-week,High-52-week,Low-52-week,Volume (thousands of shares)
Lincoln Financial,LNC,NYSE,Financials,Multi-line Insurance,Radnor,Pennsylvania,"10,848",1905,9.06,52.71,71.60,67.16,77.57,50.55,"1,929"
A. O. Smith,AOS,NYSE,Industrials,Building Products,Milwaukee,Wisconsin,"13,700",1916,9.01,58.45,82.45,69.16,86.74,56.61,796
Universal Health Services,UHS,NYSE,Health Care,Health Care Facilities,King of Prussia,Pennsylvania,"68,300",1979,9.00,118.89,129.95,159.75,165.00,116.23,587
DaVita,DVA,NYSE,Health Care,Health Care Facilities,Denver,Colorado,"69,000",1979,8.93,94.25,103.68,120.87,136.48,92.63,518
Sealed Air,SEE,NYSE,Materials,Paper Packaging,Charlotte,North Carolina,"16,500",1960,8.75,59.81,65.78,56.03,70.73,53.87,"1,103"
Fortune Brands,FBHS,NYSE,Industrials,Building Products,Deerfield,Illinois,"28,056",2011,8.73,66.44,105.98,104.28,109.23,64.85,"1,248"
Federal Realty,FRT,NYSE,Real Estate,Retail REITs,Rockville,Maryland,310,1962,8.69,111.21,130.54,112.79,140.51,107.54,415
Ceridian,CDAY,NYSE,Information Technology,Application Software,Minneapolis,Minnesota,"7,462",1992,8.64,55.65,110.33,88.37,130.37,48.93,"2,685"
Mohawk Industries,MHK,NYSE,Consumer Discretionary,Home Furnishings,Calhoun,Georgia,"43,000",1878,8.59,139.21,181.25,207.36,214.33,117.56,406
Pinnacle West,PNW,NYSE,Utilities,Multi-Utilities,Phoenix,Arizona,91,1985,8.51,75.53,67.11,86.08,88.34,62.78,542
Invesco,IVZ,NYSE,Financials,Asset Management & Custody Banks,Atlanta,Georgia,"8,549",1935,8.45,18.02,24.46,26.55,29.71,16.76,"3,112"
Dentsply Sirona,XRAY,Nasdaq,Health Care,Health Care Supplies,Charlotte,North Carolina,"15,000",2016,8.13,37.32,52.01,67.10,68.82,35.00,"1,747"
Pentair,PNR,NYSE,Industrials,Industrial Machinery,Worsley,UK,"11,250",1966,8.10,48.35,77.90,68.32,80.40,47.42,"1,044"
Newell Brands,NWL,Nasdaq,Consumer Discretionary,Housewares & Specialties,Atlanta,Georgia,"32,000",1903,8.04,19.67,23.15,27.95,29.10,18.90,"2,957"
Huntington Ingalls Industries,HII,NYSE,Industrials,Aerospace & Defense,Newport News,Virginia,"44,000",2011,7.92,200.73,189.22,211.88,228.66,175.50,318
Tapestry,TPR,NYSE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York City,New York,"12,100",2017,7.91,30.97,45.99,43.32,47.05,26.39,"4,137"
Zions Bancorp,ZION,Nasdaq,Financials,Regional Banks,Salt Lake City,Utah,"9,685",1873,7.87,52.06,67.61,56.02,75.44,47.06,"1,488"
Wynn Resorts,WYNN,Nasdaq,Consumer Discretionary,Casinos & Gaming,Paradise,Nevada,"26,950",2002,7.31,62.80,91.69,129.03,136.83,56.36,"2,312"
DXC Technology,DXC,NYSE,Information Technology,IT Consulting & Other Services,Tysons Corner,Virginia,"134,000",2017,7.24,29.64,31.43,36.94,44.18,27.28,"1,714"
Ralph Lauren,RL,NYSE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York City,New York,"12,100",1967,6.64,92.09,124.35,121.55,135.99,90.17,"2,188"
Vornado Realty Trust,VNO,NYSE,Real Estate,Office REITs,New York City,New York,"3,224",1982,6.43,33.42,44.06,45.67,50.91,32.81,"1,342"
Norwegian Cruise Line Holdings,NCLH,NYSE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami,Florida,"34,700",2011,6.41,15.95,22.56,31.12,33.95,14.30,"18,346"
Alaska Air Group,ALK,NYSE,Industrials,Airlines,Seattle,Washington,"20,550",1985,5.81,46.76,52.73,68.25,70.90,43.39,"1,374"
Penn National Gaming,PENN,Nasdaq,Consumer Discretionary,Casinos & Gaming,Wyomissing,Pennsylvania,"21,973",1972,5.30,30.67,51.81,79.74,86.40,28.30,"5,334"
IPG Photonics,IPGP,Nasdaq,Information Technology,Electronic Manufacturing Services,Oxford,Massachusetts,"6,580",1990,5.19,98.35,164.41,208.11,220.51,90.51,592
PVH,PVH,NYSE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York City,New York,"19,000",1881,4.38,64.49,119.54,110.26,125.42,62.21,"1,068"
Under Armour (Class A),UAA,NYSE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Baltimore,Maryland,"7,100",1996,4.30,9.28,24.80,21.39,27.28,9.16,"14,745"
Under Armour (Class C),UA,NYSE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Baltimore,Maryland,"7,100",1996,4.30,8.18,21.20,17.94,23.00,8.09,"6,054" 
